,,,,Nation,Pos,Age,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Arsenal,Aaron Ramsdale,ENG,GK,23.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Arsenal,Ainsley Maitland-Niles,ENG,MF,23.0,3.0,0,2,0,0.0,0.67,0.0,0.0,,26.5,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2122,Arsenal,Albert Sambi Lokonga,BEL,MF,21.0,12.6,0,20,8,40.0,1.59,0.63,0.0,0.0,25.0,0,0,0,0.6,0.6,0.03,-0.6,-0.6
ENG-Premier League,2122,Arsenal,Alexandre Lacazette,FRA,"FW,MF",30.0,19.8,4,43,12,27.9,2.17,0.61,0.05,0.17,14.8,1,2,3,7.9,5.6,0.13,-3.9,-3.6
ENG-Premier League,2122,Arsenal,Ben White,ENG,DF,23.0,32.0,0,12,3,25.0,0.37,0.09,0.0,0.0,14.1,0,0,0,1.0,1.0,0.08,-1.0,-1.0
ENG-Premier League,2122,Arsenal,Bernd Leno,GER,GK,29.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Arsenal,Bukayo Saka,ENG,"FW,MF",19.0,33.1,11,95,29,30.5,2.87,0.88,0.09,0.31,16.9,0,2,2,9.7,8.2,0.09,1.3,0.8
ENG-Premier League,2122,Arsenal,Calum Chambers,ENG,DF,26.0,1.9,0,2,0,0.0,1.06,0.0,0.0,,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2122,Arsenal,Cédric Soares,POR,DF,29.0,16.5,1,12,1,8.3,0.73,0.06,0.08,1.0,21.7,2,0,0,0.5,0.5,0.04,0.5,0.5
ENG-Premier League,2122,Arsenal,Eddie Nketiah,ENG,FW,22.0,9.3,5,28,12,42.9,3.02,1.29,0.18,0.42,14.2,0,0,0,4.6,4.6,0.17,0.4,0.4
ENG-Premier League,2122,Arsenal,Emile Smith Rowe,ENG,"MF,FW",21.0,21.3,10,40,23,57.5,1.87,1.08,0.25,0.43,15.5,0,0,0,5.8,5.8,0.14,4.2,4.2
ENG-Premier League,2122,Arsenal,Folarin Balogun,ENG,FW,20.0,0.8,0,3,0,0.0,3.86,0.0,0.0,,14.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3
ENG-Premier League,2122,Arsenal,Gabriel Dos Santos,BRA,DF,23.0,34.0,5,30,12,40.0,0.88,0.35,0.17,0.42,11.0,0,0,0,2.7,2.7,0.09,2.3,2.3
ENG-Premier League,2122,Arsenal,Granit Xhaka,SUI,"MF,DF",28.0,25.9,1,27,5,18.5,1.04,0.19,0.04,0.2,22.8,1,0,0,1.2,1.2,0.05,-0.2,-0.2
ENG-Premier League,2122,Arsenal,Kieran Tierney,SCO,DF,24.0,21.3,1,15,5,33.3,0.7,0.23,0.07,0.2,21.2,0,0,0,0.7,0.7,0.05,0.3,0.3
ENG-Premier League,2122,Arsenal,Martin Ødegaard,NOR,MF,22.0,30.9,7,53,21,39.6,1.71,0.68,0.13,0.33,20.1,12,0,0,4.8,4.8,0.09,2.2,2.2
ENG-Premier League,2122,Arsenal,Martinelli,BRA,"FW,MF",20.0,20.7,6,50,15,30.0,2.42,0.73,0.1,0.33,14.4,0,1,1,7.2,6.5,0.13,-1.2,-1.5
ENG-Premier League,2122,Arsenal,Mohamed Elneny,EGY,MF,29.0,9.0,0,8,2,25.0,0.89,0.22,0.0,0.0,25.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2
ENG-Premier League,2122,Arsenal,Nicolas Pépé,CIV,"FW,MF",26.0,7.7,1,23,7,30.4,2.97,0.91,0.04,0.14,15.2,3,0,0,2.9,2.9,0.13,-1.9,-1.9
ENG-Premier League,2122,Arsenal,Nuno Tavares,POR,DF,21.0,13.1,1,23,2,8.7,1.76,0.15,0.04,0.5,19.8,0,0,0,1.5,1.5,0.06,-0.5,-0.5
ENG-Premier League,2122,Arsenal,Opponent Total,,,26.9,38.0,47,418,141,33.7,11.0,3.71,0.1,0.3,17.1,16,5,6,47.1,42.6,0.1,-0.1,-0.6
ENG-Premier League,2122,Arsenal,Pablo Marí,ESP,DF,27.0,2.0,0,1,0,0.0,0.5,0.0,0.0,,4.1,0,0,0,0.3,0.3,0.31,-0.3,-0.3
ENG-Premier League,2122,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,32.0,11.5,4,33,16,48.5,2.86,1.39,0.12,0.25,14.2,0,0,2,5.8,4.1,0.13,-1.8,-0.1
ENG-Premier League,2122,Arsenal,Reiss Nelson,ENG,FW,21.0,0.2,0,1,0,0.0,4.5,0.0,0.0,,18.0,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,2122,Arsenal,Rob Holding,ENG,DF,25.0,9.4,1,4,1,25.0,0.43,0.11,0.25,1.0,6.8,0,0,0,0.3,0.3,0.07,0.7,0.7
ENG-Premier League,2122,Arsenal,Sead Kolašinac,BIH,DF,28.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
