,,,# Pl,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,2,38.0,51,7,1,5,2,56.8,0.3,7.8,0.2,175,539,32.5,1091,221,34.3,35.9,280,58.9,50.1,326,20,6.1,22,0.58,14.5,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,Bournemouth,3,38.0,70,5,2,8,3,57.4,0.32,-9.6,-0.25,210,551,38.1,745,193,45.0,40.1,320,67.5,53.1,370,26,7.0,18,0.47,13.8,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,Brighton,2,38.0,60,10,1,6,0,56.1,0.31,-3.9,-0.1,363,881,41.2,779,104,69.6,50.1,359,94.4,64.2,358,21,5.9,12,0.32,12.9,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,Burnley,2,38.0,68,2,2,10,4,61.4,0.3,-2.6,-0.07,366,980,37.3,836,96,78.1,56.2,354,92.4,69.0,433,21,4.8,32,0.84,15.0,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,Cardiff City,1,38.0,69,4,1,13,0,70.8,0.33,1.8,0.05,343,1123,30.5,886,52,91.0,61.8,319,99.4,70.3,283,16,5.7,42,1.11,15.8,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,Chelsea,2,38.0,39,1,0,6,0,36.9,0.29,-2.1,-0.06,194,345,56.2,950,168,22.9,29.1,275,46.2,41.1,262,23,8.8,22,0.58,16.1,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,Crystal Palace,3,38.0,53,4,1,8,1,47.7,0.28,-4.3,-0.11,262,797,32.9,794,147,62.0,48.6,346,88.2,65.6,399,27,6.8,18,0.47,13.5,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,Everton,1,38.0,46,2,2,11,2,47.7,0.34,3.7,0.1,292,778,37.5,983,156,58.8,48.7,288,69.4,59.1,280,24,8.6,32,0.84,15.3,/en/squads/d3fd31cc/2018-2019/Everton-Stats
ENG-Premier League,1819,Fulham,3,38.0,81,5,1,10,2,76.7,0.33,-2.3,-0.06,341,795,42.9,836,138,59.2,44.6,356,84.3,59.0,392,22,5.6,20,0.53,13.0,/en/squads/fd962109/2018-2019/Fulham-Stats
ENG-Premier League,1819,Huddersfield,3,38.0,76,7,3,8,1,62.6,0.32,-12.4,-0.33,396,902,43.9,1075,105,62.8,47.2,279,81.4,61.1,281,25,8.9,23,0.61,14.1,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
ENG-Premier League,1819,Leicester City,1,38.0,48,5,0,7,0,43.4,0.3,-4.6,-0.12,346,715,48.4,916,124,52.2,42.4,317,74.8,56.8,344,26,7.6,15,0.39,13.4,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
ENG-Premier League,1819,Liverpool,1,38.0,22,0,0,5,0,28.6,0.3,6.6,0.17,198,399,49.6,1058,197,26.7,32.4,216,53.7,46.8,263,20,7.6,44,1.16,16.7,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
ENG-Premier League,1819,Manchester City,1,38.0,23,4,1,5,0,28.1,0.32,5.1,0.13,146,287,50.9,909,172,21.7,30.1,187,48.1,46.9,184,19,10.3,31,0.82,17.3,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
ENG-Premier League,1819,Manchester Utd,1,38.0,54,6,2,7,3,51.1,0.27,0.1,0.0,322,690,46.7,771,147,54.5,44.7,334,80.8,60.2,311,21,6.8,10,0.26,12.2,/en/squads/19538871/2018-2019/Manchester-United-Stats
ENG-Premier League,1819,Newcastle Utd,1,38.0,48,6,2,10,1,46.5,0.31,-0.5,-0.01,274,746,36.7,855,136,55.0,44.2,322,85.7,62.7,415,39,9.4,25,0.66,13.5,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
ENG-Premier League,1819,Southampton,3,38.0,65,2,0,8,3,51.6,0.29,-10.4,-0.27,218,729,29.9,708,99,67.2,50.9,288,87.8,65.0,352,29,8.2,25,0.66,14.3,/en/squads/33c895d4/2018-2019/Southampton-Stats
ENG-Premier League,1819,Tottenham,3,38.0,39,3,1,7,3,49.8,0.32,13.8,0.36,251,545,46.1,1060,182,35.9,35.6,286,57.3,47.1,338,17,5.0,20,0.53,14.3,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
ENG-Premier League,1819,Watford,1,38.0,59,4,2,7,3,53.6,0.3,-2.4,-0.06,362,977,37.1,944,105,73.3,52.8,307,92.8,68.9,388,33,8.5,49,1.29,15.6,/en/squads/2abfe087/2018-2019/Watford-Stats
