,,,# Pl,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Arsenal,27,38.0,67,4,3,425,436,66,433,476,350,6,6,1,3139,553,662,45.5,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2122,Aston Villa,31,38.0,81,2,1,494,594,52,452,587,398,2,6,2,2957,599,639,48.4,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2122,Brentford,29,38.0,65,3,2,447,430,66,433,589,398,6,5,2,3506,830,824,50.2,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2122,Brighton,26,38.0,72,2,0,468,445,53,486,559,452,4,4,0,3423,649,630,50.7,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,Burnley,23,38.0,68,2,0,473,398,101,450,617,361,2,4,2,3450,984,912,51.9,/en/squads/943e8050/Burnley-Stats
ENG-Premier League,2122,Chelsea,26,38.0,63,1,0,485,504,69,496,557,401,8,5,1,3152,623,547,53.2,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2122,Crystal Palace,24,38.0,69,1,1,501,566,64,422,564,410,6,4,2,3364,755,686,52.4,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2122,Everton,33,38.0,82,6,2,450,462,52,414,600,477,7,2,5,3396,711,866,45.1,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2122,Leeds United,29,38.0,101,3,0,567,449,62,436,627,473,4,5,1,3374,560,664,45.8,/en/squads/5bfb9659/Leeds-United-Stats
ENG-Premier League,2122,Leicester City,28,38.0,55,1,0,456,491,60,345,532,440,1,9,1,3153,625,611,50.6,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2122,Liverpool,27,38.0,50,1,0,422,395,63,554,552,366,5,0,1,3804,621,549,53.1,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2122,Manchester City,26,38.0,42,1,0,373,442,65,610,434,325,7,1,0,3058,530,433,55.0,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2122,Manchester Utd,29,38.0,77,2,1,474,414,87,425,566,388,3,5,3,3158,640,498,56.2,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2122,Newcastle Utd,29,38.0,81,2,1,496,448,71,406,598,407,1,6,2,2964,791,740,51.7,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2122,Norwich City,28,38.0,57,1,1,475,493,54,374,633,392,2,12,2,2883,585,669,46.7,/en/squads/1c781004/Norwich-City-Stats
ENG-Premier League,2122,Southampton,25,38.0,65,2,1,495,444,42,450,677,404,4,1,2,3529,756,902,45.6,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2122,Tottenham,25,38.0,69,1,1,479,515,62,407,552,371,3,2,1,2898,651,552,54.1,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2122,Watford,30,38.0,63,3,3,536,402,53,385,675,423,2,7,3,3264,809,843,49.0,/en/squads/2abfe087/Watford-Stats
ENG-Premier League,2122,West Ham,25,38.0,52,3,2,373,352,58,521,539,351,3,4,2,3184,689,709,49.3,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2122,Wolves,26,38.0,62,2,2,449,403,61,393,562,465,1,10,1,3078,543,568,48.9,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
