,,,# Pl,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Arsenal,30,38.0,,,0,463,458,90,419,484,436,5,6,0,3647,722,764,48.6,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
ENG-Premier League,1718,Bournemouth,22,38.0,,,1,392,481,53,464,466,331,2,3,1,3645,816,902,47.5,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
ENG-Premier League,1718,Brighton,24,38.0,,,0,506,312,101,434,556,447,7,3,5,3400,962,888,52.0,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1718,Burnley,24,38.0,,,0,420,478,104,431,529,351,0,5,1,3481,1101,1193,48.0,/en/squads/943e8050/2017-2018/Burnley-Stats
ENG-Premier League,1718,Chelsea,26,38.0,,,2,408,489,112,530,514,445,3,2,2,3614,736,625,54.1,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
ENG-Premier League,1718,Crystal Palace,28,38.0,,,0,507,493,56,439,631,451,9,2,2,3484,886,838,51.4,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
ENG-Premier League,1718,Everton,30,38.0,,,2,536,432,82,395,580,459,8,5,0,3565,961,1012,48.7,/en/squads/d3fd31cc/2017-2018/Everton-Stats
ENG-Premier League,1718,Huddersfield,25,38.0,,,2,462,404,69,477,546,464,2,6,1,3718,925,939,49.6,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
ENG-Premier League,1718,Leicester City,27,38.0,,,4,439,418,95,493,583,433,6,4,2,3640,963,846,53.2,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
ENG-Premier League,1718,Liverpool,27,38.0,,,0,379,405,74,503,524,448,3,6,0,3751,745,780,48.9,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
ENG-Premier League,1718,Manchester City,25,38.0,,,2,394,450,68,570,469,406,8,2,2,3347,588,483,54.9,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
ENG-Premier League,1718,Manchester Utd,27,38.0,,,0,476,512,91,523,595,375,1,1,2,3412,760,639,54.3,/en/squads/19538871/2017-2018/Manchester-United-Stats
ENG-Premier League,1718,Newcastle Utd,27,38.0,,,1,463,408,64,396,559,410,1,6,3,3595,1020,1126,47.5,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
ENG-Premier League,1718,Southampton,26,38.0,,,1,477,423,77,516,522,482,3,2,0,3514,816,955,46.1,/en/squads/33c895d4/2017-2018/Southampton-Stats
ENG-Premier League,1718,Stoke City,30,38.0,,,0,517,414,87,377,541,435,2,5,2,3358,1155,895,56.3,/en/squads/17892952/2017-2018/Stoke-City-Stats
ENG-Premier League,1718,Swansea City,26,38.0,,,0,437,458,39,420,525,394,1,6,2,3117,803,955,45.7,/en/squads/fb10988f/2017-2018/Swansea-City-Stats
ENG-Premier League,1718,Tottenham,25,38.0,,,1,431,496,89,555,455,422,3,3,1,3837,730,758,49.1,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
ENG-Premier League,1718,Watford,29,38.0,,,1,512,441,78,500,594,454,6,6,1,3701,976,1043,48.3,/en/squads/2abfe087/2017-2018/Watford-Stats
ENG-Premier League,1718,West Brom,24,38.0,,,0,536,394,80,472,630,397,0,1,2,3554,932,978,48.8,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
ENG-Premier League,1718,West Ham,27,38.0,,,1,431,508,98,459,572,411,4,6,1,3407,922,900,50.6,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
