,,,# Pl,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Arsenal,30,26.8,38,3420,90,100,38.0,418,,,101,0,165,1.66,74,51,23,0.61,68.4,50.5,17.9,0.47,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
ENG-Premier League,1718,Bournemouth,22,26.9,38,3420,90,100,38.0,418,,,109,0,157,1.16,45,61,-16,-0.42,44.8,61.4,-16.6,-0.44,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
ENG-Premier League,1718,Brighton,24,27.5,38,3420,90,100,38.0,418,,,101,0,165,1.05,34,54,-20,-0.53,37.2,52.6,-15.5,-0.41,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1718,Burnley,24,27.5,38,3420,90,100,38.0,418,,,83,0,183,1.42,36,39,-3,-0.08,34.5,51.8,-17.2,-0.45,/en/squads/943e8050/2017-2018/Burnley-Stats
ENG-Premier League,1718,Chelsea,26,26.7,38,3420,90,100,38.0,418,,,109,0,157,1.84,62,38,24,0.63,57.9,35.3,22.7,0.6,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
ENG-Premier League,1718,Crystal Palace,28,27.1,38,3420,90,100,38.0,418,,,73,0,191,1.16,45,55,-10,-0.26,56.1,50.6,5.5,0.14,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
ENG-Premier League,1718,Everton,30,26.7,38,3420,90,100,38.0,418,,,114,0,152,1.29,44,58,-14,-0.37,41.5,52.3,-10.9,-0.29,/en/squads/d3fd31cc/2017-2018/Everton-Stats
ENG-Premier League,1718,Huddersfield,25,26.4,38,3420,90,100,38.0,418,,,112,0,154,0.97,28,58,-30,-0.79,31.7,55.2,-23.5,-0.62,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
ENG-Premier League,1718,Leicester City,27,27.2,38,3420,90,100,38.0,418,,,107,0,159,1.24,56,60,-4,-0.11,48.1,49.9,-1.8,-0.05,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
ENG-Premier League,1718,Liverpool,27,25.6,38,3420,90,100,38.0,418,,,111,0,155,1.97,84,38,46,1.21,72.8,34.0,38.8,1.02,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
ENG-Premier League,1718,Manchester City,25,26.4,38,3420,90,100,38.0,418,,,106,0,158,2.63,106,27,79,2.08,86.4,22.8,63.6,1.67,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
ENG-Premier League,1718,Manchester Utd,27,26.7,38,3420,90,100,38.0,418,,,111,0,155,2.13,68,28,40,1.05,60.7,41.7,18.9,0.5,/en/squads/19538871/2017-2018/Manchester-United-Stats
ENG-Premier League,1718,Newcastle Utd,27,25.6,38,3420,90,100,38.0,418,,,112,0,154,1.16,39,47,-8,-0.21,45.3,53.4,-8.1,-0.21,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
ENG-Premier League,1718,Southampton,26,26.2,38,3420,90,100,38.0,418,,,113,0,153,0.95,37,56,-19,-0.5,42.1,48.8,-6.7,-0.18,/en/squads/33c895d4/2017-2018/Southampton-Stats
ENG-Premier League,1718,Stoke City,30,27.5,38,3420,90,100,38.0,418,,,92,0,174,0.87,35,68,-33,-0.87,37.5,63.8,-26.2,-0.69,/en/squads/17892952/2017-2018/Stoke-City-Stats
ENG-Premier League,1718,Swansea City,26,27.2,38,3420,90,100,38.0,418,,,109,0,157,0.87,28,56,-28,-0.74,30.5,59.5,-29.0,-0.76,/en/squads/fb10988f/2017-2018/Swansea-City-Stats
ENG-Premier League,1718,Tottenham,25,25.8,38,3420,90,100,38.0,418,,,108,0,157,2.03,74,36,38,1.0,67.3,35.0,32.3,0.85,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
ENG-Premier League,1718,Watford,29,27.9,38,3420,90,100,38.0,418,,,111,0,155,1.08,44,64,-20,-0.53,47.4,57.9,-10.6,-0.28,/en/squads/2abfe087/2017-2018/Watford-Stats
ENG-Premier League,1718,West Brom,24,29.1,38,3420,90,100,38.0,418,,,108,0,157,0.82,31,56,-25,-0.66,34.4,48.5,-14.1,-0.37,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
ENG-Premier League,1718,West Ham,27,28.0,38,3420,90,100,38.0,418,,,97,0,167,1.11,48,68,-20,-0.53,39.8,59.3,-19.4,-0.51,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
