,,,# Pl,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
league,season,team,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Arsenal,2,38,38,3420,38.0,51,1.34,142,94,67.6,19,6,13,13,34.2,6,5,1,0,16.7,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
ENG-Premier League,1718,Bournemouth,1,38,38,3420,38.0,61,1.61,171,113,65.5,11,11,16,6,15.8,4,2,1,1,33.3,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
ENG-Premier League,1718,Brighton,1,38,38,3420,38.0,54,1.42,171,121,69.0,9,13,16,10,26.3,3,1,2,0,66.7,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1718,Burnley,2,38,38,3420,38.0,39,1.03,160,123,77.5,14,12,12,12,31.6,5,3,1,1,25.0,/en/squads/943e8050/2017-2018/Burnley-Stats
ENG-Premier League,1718,Chelsea,2,38,38,3420,38.0,38,1.0,116,81,69.0,21,7,10,16,42.1,2,2,0,0,0.0,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
ENG-Premier League,1718,Crystal Palace,2,38,38,3420,38.0,55,1.45,167,116,68.3,11,11,16,9,23.7,2,2,0,0,0.0,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
ENG-Premier League,1718,Everton,1,38,38,3420,38.0,58,1.53,175,119,68.6,13,10,15,10,26.3,5,3,1,1,25.0,/en/squads/d3fd31cc/2017-2018/Everton-Stats
ENG-Premier League,1718,Huddersfield,1,38,38,3420,38.0,57,1.5,153,97,65.4,9,10,19,10,26.3,6,4,2,0,33.3,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
ENG-Premier League,1718,Leicester City,3,38,38,3420,38.0,60,1.58,161,104,64.0,12,11,15,9,23.7,4,2,2,0,50.0,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
ENG-Premier League,1718,Liverpool,2,38,38,3420,38.0,38,1.0,96,60,64.6,21,12,5,17,44.7,6,4,2,0,33.3,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
ENG-Premier League,1718,Manchester City,2,38,38,3420,38.0,27,0.71,82,56,67.1,32,4,2,18,47.4,3,0,2,1,100.0,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
ENG-Premier League,1718,Manchester Utd,2,38,38,3420,38.0,28,0.74,143,117,81.1,25,6,7,19,50.0,1,1,0,0,0.0,/en/squads/19538871/2017-2018/Manchester-United-Stats
ENG-Premier League,1718,Newcastle Utd,3,38,38,3420,38.0,47,1.24,145,104,70.3,12,8,18,9,23.7,6,4,2,0,33.3,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
ENG-Premier League,1718,Southampton,2,38,38,3420,38.0,56,1.47,165,108,66.7,7,15,16,8,21.1,2,1,1,0,50.0,/en/squads/33c895d4/2017-2018/Southampton-Stats
ENG-Premier League,1718,Stoke City,2,38,38,3420,38.0,68,1.79,212,151,70.3,7,12,19,6,15.8,5,5,0,0,0.0,/en/squads/17892952/2017-2018/Stoke-City-Stats
ENG-Premier League,1718,Swansea City,1,38,38,3420,38.0,56,1.47,182,129,70.9,8,9,21,9,23.7,7,3,3,1,50.0,/en/squads/fb10988f/2017-2018/Swansea-City-Stats
ENG-Premier League,1718,Tottenham,3,38,38,3420,38.0,36,0.95,123,89,72.4,23,8,7,16,42.1,3,2,1,0,33.3,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
ENG-Premier League,1718,Watford,2,38,38,3420,38.0,64,1.68,151,93,61.6,11,8,19,9,23.7,6,6,0,0,0.0,/en/squads/2abfe087/2017-2018/Watford-Stats
ENG-Premier League,1718,West Brom,2,38,38,3420,38.0,56,1.47,155,100,64.5,6,13,19,10,26.3,1,1,0,0,0.0,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
ENG-Premier League,1718,West Ham,2,38,38,3420,38.0,68,1.79,180,113,65.0,10,12,16,10,26.3,6,5,1,0,16.7,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
